Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Primo Spears,21,21,784,134,313,0.428,120,259,0.463,14,54,0.259,70,90,0.778,15,57,72,116,25,0,73,36,352,amir-spears-1
2,Brandon Murray,16,16,554,87,203,0.429,65,142,0.458,22,61,0.361,36,59,0.61,14,42,56,56,21,9,43,36,232,brandon-murray-1
3,Qudus Wahab,21,21,507,71,141,0.504,71,140,0.507,0,1,0,67,93,0.72,63,92,155,5,13,16,28,52,209,qudus-wahab-1
4,Akok Akok,21,21,685,64,135,0.474,45,69,0.652,19,66,0.288,16,22,0.727,35,110,145,23,13,41,30,41,163,akok-akok-1
5,Jay Heath,12,11,402,59,133,0.444,39,81,0.481,20,52,0.385,23,33,0.697,6,43,49,18,13,1,16,24,161,jay-heath-1
6,Bryson Mozone,20,7,408,46,119,0.387,25,52,0.481,21,67,0.313,16,22,0.727,15,57,72,9,8,4,15,30,129,bryson-mozone-1
7,Jordan Riley,16,5,270,37,78,0.474,31,59,0.525,6,19,0.316,19,27,0.704,15,32,47,6,10,5,22,19,99,jordan-riley-1
8,Wayne Bristol,20,3,286,26,58,0.448,13,23,0.565,13,35,0.371,15,20,0.75,18,19,37,10,10,7,13,31,80,wayne-bristoljr-1
9,Bradley Ezewiro,16,0,165,19,41,0.463,19,41,0.463,0,0,,15,26,0.577,17,29,46,2,4,10,7,25,53,bradley-ezewiro-1
10,Denver Anglin,16,0,118,8,34,0.235,3,7,0.429,5,27,0.185,2,2,1,1,7,8,8,2,0,5,10,23,denver-anglin-1
11,Ryan Mutombo,7,0,33,7,9,0.778,7,9,0.778,0,0,,1,3,0.333,5,9,14,0,0,4,1,4,15,ryan-mutombo-1
12,D'Ante Bass,6,0,24,1,3,0.333,1,3,0.333,0,0,,0,2,0,2,1,3,2,1,1,0,1,2,dante-bass-1
13,Malcolm Wilson,6,0,12,0,3,0,0,3,0,0,0,,1,2,0.5,4,2,6,0,0,0,0,3,1,malcolm-wilson-1
14,Victor Muresan,1,0,1,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,victor-muresan-1
,School Totals,21,,4250,559,1271,0.44,439,889,0.494,120,382,0.314,281,401,0.701,239,528,767,255,120,98,262,312,1519,-9999